global_step,step,mode,phase,draft_length,success,latency_ms,tokens
1,1,fixed_1,steady,1,1,4014,64
2,2,fixed_1,steady,1,1,3951,64
3,3,fixed_1,steady,1,1,4007,64
4,4,fixed_1,steady,1,1,3867,64
5,5,fixed_1,steady,1,1,3911,64
6,6,fixed_1,steady,1,1,3853,64
7,7,fixed_1,steady,1,1,4334,64
8,8,fixed_1,steady,1,1,4437,64
9,9,fixed_1,steady,1,1,4945,64
10,10,fixed_1,steady,1,1,4250,64
11,1,fixed_2,steady,2,1,4401,64
12,2,fixed_2,steady,2,1,4186,64
13,3,fixed_2,steady,2,1,3699,64
14,4,fixed_2,steady,2,1,4564,64
15,5,fixed_2,steady,2,1,4192,64
16,6,fixed_2,steady,2,1,3926,64
17,7,fixed_2,steady,2,1,4685,64
18,8,fixed_2,steady,2,1,4213,64
19,9,fixed_2,steady,2,1,4007,64
20,10,fixed_2,steady,2,1,3872,64
21,1,fixed_3,steady,3,1,4045,64
22,2,fixed_3,steady,3,1,3700,64
23,3,fixed_3,steady,3,1,3920,64
24,4,fixed_3,steady,3,1,4249,64
25,5,fixed_3,steady,3,1,3923,64
26,6,fixed_3,steady,3,1,3893,64
27,7,fixed_3,steady,3,1,4008,64
28,8,fixed_3,steady,3,1,4604,64
29,9,fixed_3,steady,3,1,4746,64
30,10,fixed_3,steady,3,1,3758,64
31,1,fixed_4,steady,4,1,3520,64
32,2,fixed_4,steady,4,1,3370,64
33,3,fixed_4,steady,4,1,3407,64
34,4,fixed_4,steady,4,1,3823,64
35,5,fixed_4,steady,4,1,4195,64
36,6,fixed_4,steady,4,1,4395,64
37,7,fixed_4,steady,4,1,3987,64
38,8,fixed_4,steady,4,1,3922,64
39,9,fixed_4,steady,4,1,3808,64
40,10,fixed_4,steady,4,1,3612,64
41,1,fixed_5,steady,5,1,4381,64
42,2,fixed_5,steady,5,1,4355,64
43,3,fixed_5,steady,5,1,4601,64
44,4,fixed_5,steady,5,1,4229,64
45,5,fixed_5,steady,5,1,4257,64
